INDICE,SP_ALCALDIA,SP_CALLE,SP_NUMERO,SP_COLONIA,SP_CODIGO,SP_NOMBRE,SP_DESCRIP,SP_NIVELES,SP_PERIMET,X,Y
27226,CUAUHTEMOC,AMADO NERVO,46,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM4,,-99.1578086594,19.4430738029
27227,CUAUHTEMOC,RIBERA SAN COSME,45,SANTA MARIA LA RIBERA,06400,INBA,Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes dentro de los polígonos de Área de Conservación Patrimonial.,,,-99.1581135574,19.4412343465
27228,CUAUHTEMOC,SANTA MARIA LA RIVERA,33,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1579480439,19.4427208808
27230,CUAUHTEMOC,SANTA MA. LA RIBERA,19,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.158002445,19.442033355
27231,CUAUHTEMOC,STA MA LA RIBERA,13,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM4,,-99.158027182,19.4416294834
27233,CUAUHTEMOC,STA MA LA RIBERA,23,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1578632256,19.4422132177
27237,CUAUHTEMOC,CIPRES,33,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM1,,-99.1589887383,19.4428485765
27238,CUAUHTEMOC,JAIME TORRES BODET,29,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1590127092,19.442753962
27239,CUAUHTEMOC,JAIME TORRES BODET,31,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1590003436,19.4428012026
27240,CUAUHTEMOC,CIPRES,21,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1590696541,19.4424919117
27241,CUAUHTEMOC,CIPRES,17,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1590908132,19.4423950875
27242,CUAUHTEMOC,JAIME TORRES BODET,19,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1590798326,19.4424432855
27244,CUAUHTEMOC,CIPRES,35,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1589715897,19.4428987142
27245,CUAUHTEMOC,JAIME TORRES BODET,15,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1591005216,19.4423436008
27246,CUAUHTEMOC,CIPRES,23,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1590568254,19.4425517595
27256,CUAUHTEMOC,JAIME TORRES BODET,13,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1589804198,19.4422429952
